             q [rad],        qvel [rad/s],            tau [Nm],              i [mA],             dt [ms]
                   0,                   0,            0.019669,                   0,          1.6078e+12
                   0,                   0,            0.019669,                   0,               0.588
                   0,                   0,            0.019669,                   0,               0.812
                   0,                   0,            0.019669,                   0,               0.092
                   0,                   0,            0.019669,                   0,                0.06
                   0,                   0,            0.019669,                   0,               0.059
                   0,                   0,            0.019669,                   0,               0.052
                   0,                   0,            0.019669,                   0,               0.099
                   0,                   0,           -0.010057,                   0,                9.68
                   0,                   0,          -0.0095448,                   0,               7.955
                   0,                   0,              -0.011,                   0,               9.994
                   0,                   0,          -0.0095742,                   0,              10.275
                   0,                   0,          -0.0081464,                   0,                 9.8
                   0,                   0,           -0.008523,                   0,              10.063
                   0,                   0,          -0.0088836,                   0,              12.677
                   0,                   0,          -0.0093827,                   0,               9.787
                   0,                   0,          -0.0087535,                   0,                9.78
                   0,                   0,           -0.010035,                   0,                9.67
                   0,                   0,          -0.0088071,                   0,              10.335
                   0,                   0,           -0.010411,                   0,               9.594
                   0,                   0,            -0.01055,                   0,               9.615
                   0,                   0,           -0.010543,                   0,               9.585
                   0,                   0,            -0.01021,                   0,               9.789
                   0,                   0,           -0.010105,                   0,               9.901
                   0,                   0,           -0.010944,                   0,               9.918
                   0,                   0,           -0.011204,                   0,               9.894
                   0,                   0,           -0.011161,                   0,               9.875
                   0,                   0,           -0.012304,                   0,              10.105
                   0,                   0,            -0.01126,                   0,              10.477
                   0,                   0,           -0.012248,                   0,               8.888
                   0,                   0,          -0.0092981,                   0,              16.987
                   0,                   0,            -0.01055,                   0,               3.164
                   0,                   0,           -0.011308,                   0,               9.919
                   0,                   0,            -0.01109,                   0,              10.409
                   0,                   0,           -0.011984,                   0,               9.615
                   0,                   0,           -0.010868,                   0,               9.938
                   0,                   0,          -0.0097132,                   0,              10.167
                   0,                   0,           -0.012352,                   0,              10.012
                   0,                   0,           -0.011345,                   0,              11.923
                   0,                   0,           -0.012191,                   0,               11.37
                   0,                   0,           -0.012191,                   0,               0.853
          -0.0017952,                   0,            0.058339,                  12,               3.847
          -0.0017952,                   0,           -0.022624,                  12,               9.711
          -0.0017952,                   0,           0.0055523,                  12,              10.155
          -0.0017952,                   0,           -0.020684,                  12,               9.942
          -0.0017952,                   0,          -0.0066472,                  12,              10.141
          -0.0017952,                   0,          -0.0023342,                  12,              10.065
          -0.0017952,                   0,           -0.019105,                  -4,              10.139
          -0.0017952,                   0,           0.0013803,                  12,               9.857
          -0.0017952,                   0,           -0.014177,                 -20,              10.142
          -0.0017952,                   0,          -0.0086425,                  12,               9.657
          -0.0017952,                   0,          -0.0031406,                 -20,              10.349
          -0.0017952,                   0,           -0.015676,                  12,               9.856
          -0.0017952,                   0,          -0.0080252,                  12,              10.186
          -0.0017952,                   0,           -0.017917,                  12,               9.816
          -0.0017952,                   0,           -0.022209,                  12,              10.137
          -0.0017952,                   0,           -0.016621,                  -4,               9.861
          -0.0017952,                   0,           -0.018554,                  -4,              10.134
          -0.0017952,                   0,           -0.016842,                  12,               9.865
          -0.0017952,                   0,           -0.019958,                  12,              10.139
          -0.0017952,                   0,           -0.019092,                  -4,               9.862
          -0.0017952,                   0,           -0.017723,                 -20,              10.137
          -0.0017952,                   0,           -0.019679,                  -4,               9.864
          -0.0017952,                   0,            -0.01619,                  -4,               10.14
          -0.0017952,                   0,           -0.016573,                  -4,               9.859
          -0.0017952,                   0,           -0.016286,                  -4,              10.137
          -0.0017952,                   0,           -0.013733,                  12,               9.863
          -0.0017952,                   0,           -0.012979,                  -4,              10.136
          -0.0017952,                   0,           -0.011006,                 -20,               9.864
          -0.0017952,                   0,           -0.012198,                  -4,               9.934
          -0.0017952,                   0,           -0.010251,                  -4,               9.863
          -0.0017952,                   0,          -0.0096954,                  -4,              10.133
          -0.0017952,                   0,          -0.0086865,                 -20,               10.07
          -0.0017952,                   0,          -0.0091601,                  12,               10.14
          -0.0017952,                   0,           -0.010254,                  -4,               9.657
          -0.0017952,                   0,          -0.0081566,                  12,              10.401
          -0.0017952,                   0,           -0.009069,                  -4,               9.799
          -0.0017952,                   0,          -0.0098533,                  -4,              10.125
          -0.0017952,                   0,           -0.010067,                  12,               9.875
          -0.0017952,                   0,           -0.010335,                  12,              12.817
          -0.0017952,                   0,          -0.0099577,                  12,               7.886
          -0.0017952,                   0,          -0.0082644,                  -4,              10.333
          -0.0017952,                   0,          -0.0086053,                  -4,              11.146
          -0.0017952,                   0,          -0.0068298,                  12,               7.687
          -0.0017952,                   0,          -0.0069226,                  12,               10.13
          -0.0017952,                   0,          -0.0047709,                  -4,              10.128
          -0.0017952,                   0,          -0.0065162,                  12,               9.873
          -0.0017952,                   0,           -0.006116,                 -20,              12.861
          -0.0017952,                   0,          -0.0078783,                  -4,               7.821
          -0.0017952,                   0,          -0.0064925,                  12,              10.464
          -0.0017952,                   0,          -0.0074203,                  -4,              11.039
          -0.0017952,                   0,          -0.0086797,                  12,               7.943
          -0.0017952,                   0,          -0.0063436,                  12,               9.589
          -0.0017952,                   0,          -0.0052226,                  12,               10.45
          -0.0017952,                   0,          -0.0043949,                 -20,              10.138
          -0.0017952,                   0,          -0.0040414,                  12,              10.642
          -0.0017952,                   0,          -0.0047115,                  -4,              11.234
          -0.0017952,                   0,          -0.0040004,                  12,               7.956
          -0.0017952,                   0,          -0.0061238,                  12,              12.481
          -0.0017952,                   0,          -0.0049706,                  -4,               7.795
          -0.0017952,                   0,          -0.0059126,                  -4,              10.424
          -0.0017952,                   0,           -0.004963,                  12,              10.261
          -0.0017952,                   0,          -0.0063852,                 -20,              11.091
          -0.0017952,                   0,          -0.0073346,                  -4,               7.942
          -0.0017952,                   0,          -0.0062895,                 -20,               9.869
          -0.0017952,                   0,          -0.0051114,                  -4,               10.18
