             q [rad],            tau [Nm],             dt [ms]
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.494
                   0,                 2.1,               0.056
                   0,                 2.1,               0.047
                   0,                 2.1,               0.042
                   0,                 2.1,               0.045
                   0,                 2.1,               0.042
                   0,            -0.13441,               8.833
                   0,            -0.14705,              10.099
                   0,            -0.13931,               9.844
                   0,            -0.14071,              10.132
                   0,            -0.14151,               9.848
                   0,            -0.13888,              10.908
                   0,            -0.14044,               9.291
                   0,             -0.1386,              10.297
                   0,            -0.13778,              11.569
                   0,            -0.14156,               9.107
                   0,            -0.13594,               9.973
                   0,            -0.13977,              10.012
                   0,            -0.13755,               9.524
                   0,            -0.13652,              14.027
                   0,            -0.13531,               5.759
                   0,            -0.12959,               9.908
                   0,            -0.14317,               9.784
                   0,             -0.1344,              14.835
                   0,            -0.13159,               5.289
                   0,            -0.12953,               9.799
                   0,            -0.13499,               9.999
                   0,             -0.1386,               10.14
                   0,            -0.13212,               9.796
                   0,            -0.13773,              11.541
                   0,            -0.14041,               8.515
                   0,            -0.12991,              13.735
                   0,            -0.12991,               0.115
           0.0017952,            -0.14281,               1.134
           0.0008976,            -0.13158,               9.598
           -0.008976,            -0.14068,                9.81
           -0.012566,            -0.13313,               9.932
           -0.076296,            -0.13213,              10.173
            -0.10771,            -0.13459,               9.777
            -0.11579,            -0.13977,              10.105
            -0.10322,             -0.1951,               9.917
             -0.1104,            -0.13794,               12.07
            -0.11579,            -0.13981,               7.987
            -0.11848,            -0.12789,              10.229
            -0.11848,             -0.1275,              12.034
            -0.11938,            -0.78855,               9.707
            -0.11938,            -0.29849,              10.542
            -0.11938,            -0.27766,               9.698
            -0.11938,            -0.32644,               9.709
            -0.11938,            -0.29175,                9.36
            -0.11938,            -0.31395,               9.552
            -0.11938,            -0.30793,              10.159
            -0.11938,            -0.30784,               9.642
            -0.11938,            -0.30135,               9.683
            -0.11938,            -0.29672,              10.018
            -0.11938,            -0.28816,               9.931
            -0.11938,            -0.27721,               9.832
            -0.11938,            -0.29252,              10.136
            -0.11938,            -0.28154,              10.069
            -0.11938,            -0.28189,              10.134
            -0.11938,            -0.29101,               9.662
            -0.11938,            -0.26685,              10.391
            -0.11938,            -0.27174,               9.607
            -0.11938,            -0.27069,              10.337
            -0.11938,             -0.2581,               9.661
            -0.11938,            -0.27557,              10.137
            -0.11938,            -0.24817,              10.795
            -0.11938,            -0.25486,               9.899
            -0.11938,             -0.2407,               9.821
            -0.11938,            -0.25469,               9.917
            -0.11938,             -0.2464,               9.715
            -0.11938,            -0.23693,              10.089
            -0.11938,            -0.24401,              10.312
            -0.11938,            -0.23351,                9.81
            -0.11938,            -0.24648,               10.24
            -0.11938,            -0.22583,               9.869
            -0.11938,            -0.23303,               9.952
            -0.11938,            -0.22513,               9.853
            -0.11938,             -0.2231,               9.967
            -0.11938,            -0.23741,              10.135
            -0.11938,            -0.21845,              10.034
            -0.11938,            -0.22974,               9.871
            -0.11938,            -0.21982,               9.992
            -0.11938,            -0.21572,               9.712
