                   q,                 tau,                  dt
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.441
                   0,                 2.1,               0.054
                   0,                 2.1,               0.049
                   0,                 2.1,               0.042
                   0,                 2.1,               0.047
                   0,                 2.1,               0.042
                   0,                 2.1,               2.554
                   0,            -0.13317,               9.095
                   0,            -0.13573,              10.069
                   0,            -0.14078,               10.12
                   0,            -0.13416,              11.583
                   0,            -0.13217,              10.536
                   0,            -0.14299,               7.759
                   0,            -0.13545,               10.04
                   0,            -0.13937,               11.11
                   0,            -0.14013,               9.477
                   0,            -0.13731,                9.99
                   0,            -0.14476,               9.646
                   0,            -0.14076,              11.971
                   0,            -0.12941,               7.984
                   0,            -0.14007,              10.731
                   0,            -0.13659,                8.99
                   0,            -0.13605,              10.345
                   0,            -0.14335,               9.839
                   0,            -0.13007,              16.977
                   0,            -0.13689,               2.932
                   0,            -0.13596,               9.907
                   0,            -0.13662,              11.304
                   0,            -0.13482,                8.98
                   0,            -0.13151,               9.942
                   0,            -0.13054,              10.031
                   0,            -0.13378,               9.972
                   0,            -0.13756,               9.896
                   0,            -0.13756,               7.288
           0.0017952,            -0.14365,               8.086
           0.0008976,            -0.13767,               9.612
           -0.008976,            -0.13645,              10.816
           -0.027826,            -0.13604,               12.36
           -0.052958,            -0.13366,               8.144
           -0.084374,            -0.13119,               8.691
            -0.12387,            -0.14153,              12.119
            -0.13284,            -0.13415,                7.93
            -0.15349,            -0.13255,               9.924
            -0.13644,            -0.13741,              10.066
            -0.12387,            -0.13306,              10.233
            -0.11669,             -0.1393,               9.785
            -0.11759,             -0.1384,              10.148
            -0.13284,            -0.13801,              10.347
            -0.14362,            -0.13148,              10.291
             -0.1508,            -0.13148,               9.949
             -0.1499,            -0.13458,              11.437
            -0.14721,            -0.13382,              10.009
             -0.1499,            -0.12445,              10.489
             -0.1508,            -0.12445,               7.266
             -0.1499,            -0.13116,              10.519
             -0.1499,            -0.18263,              10.029
             -0.1499,            -0.12998,              10.404
             -0.1499,            -0.17483,              10.544
             -0.1499,            -0.16275,              10.875
             -0.1499,            -0.16311,               9.838
             -0.1499,            -0.17295,               7.956
             -0.1499,            -0.16437,              10.263
             -0.1499,            -0.16897,              10.113
             -0.1499,            -0.15698,              10.435
             -0.1499,            -0.16155,              10.433
             -0.1499,            -0.16971,               11.18
             -0.1499,            -0.15173,               7.928
             -0.1499,            -0.16516,               9.872
             -0.1499,            -0.16154,               10.13
             -0.1499,            -0.16359,               9.869
             -0.1499,            -0.16774,               11.51
             -0.1499,             -0.1585,              10.517
             -0.1499,            -0.14241,               9.983
             -0.1499,             -0.1596,              10.168
             -0.1499,            -0.16052,               9.669
             -0.1499,             -0.1546,               9.939
             -0.1499,             -0.1546,              12.831
             -0.1499,            -0.15873,               5.501
             -0.1499,            -0.17034,              10.025
             -0.1499,            -0.15353,               9.859
             -0.1499,            -0.16661,              10.122
             -0.1499,            -0.16632,               9.876
             -0.1499,            -0.15987,              10.494
             -0.1499,            -0.16104,              10.735
             -0.1499,            -0.15963,                8.69
             -0.1499,            -0.15908,              11.337
             -0.1499,            -0.16338,              10.918
             -0.1499,             -0.1532,              10.231
             -0.1499,             -0.1532,               7.758
             -0.1499,            -0.15571,              10.149
             -0.1499,            -0.16113,              10.397
             -0.1499,            -0.14911,              10.352
             -0.1499,            -0.16762,               10.74
             -0.1499,            -0.15909,               10.28
             -0.1499,            -0.15132,               8.047
             -0.1499,            -0.15404,              12.403
